"Export date: 2020. 5. 6. 오후 1:14:14","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Reviews","Rating","Rank","Seller type","Category","ASIN","Link"
"","","108","Bigelow Lemon Ginger with Probiotics 18 Count Box Pack of 6 Boxes 108 Tea bags Total","Bigelow Tea","$14.52","8808","206","$127892","3936","4.5","1030","AMZ","Grocery & Gourmet Food","B002XWSNCA","https://www.amazon.com/Bigelow-Tea-Ginger-18-Count-Total/dp/B002XWSNCA/ref=sr_1_112?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-112"
"","","109","Yogi Tea DeTox Tea (3 Boxes)","Yogi","$18.89","40","1","$756","46","4","146864","FBA","Grocery & Gourmet Food","B01CGV6C5M","https://www.amazon.com/Yogi-Tea-DeTox-Boxes/dp/B01CGV6C5M/ref=sr_1_113?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-113"
"","","110","VitaCup Beauty Blend Infused Tea 14 ct |Keto|Paleo| Jasmine Herbal Rooibos Caffeine Free Tea with Collagen Types I & III Biotin (B7) & Methylfolate (B9) Helps Support Healthy Hair Skin & Nails","VitaCup","$5.87","1096","28","$6434","283","4.5","10471","FBA","Grocery & Gourmet Food","B07QPCDJBT","https://www.amazon.com/VitaCup-Infused-Jasmine-Caffeine-Collagen/dp/B07QPCDJBT/ref=sr_1_114?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-114"
"","","111","Yogi Tea Cold Season - Caffeine Free - 16 Tea Bags - USDA Organic - 100% Natural Herbal Supplement","Yogi","$10.14","0","0","$0","5","4","260710","FBA","Grocery & Gourmet Food","B013KASJLI","https://www.amazon.com/Yogi-Tea-Cold-Season-Supplement/dp/B013KASJLI/ref=sr_1_115?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-115"
"","","112","Yogi Tea Berry DeTox 16 Count","Yogi Tea","$8.79","135","2","$1187","119","4.5","70632","","Grocery & Gourmet Food","B00EIB0LUQ","https://www.amazon.com/Yogi-Herbal-Bags-Berry-DeTox/dp/B00EIB0LUQ/ref=sr_1_116?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-116"
"","","113","Yogi Tea Herbal Stress Relief Honey Lavender 16 ct","Yogi Tea","$6.99","180","8","$1258","1487","4.5","29637","","Grocery & Gourmet Food","B007M8FRV0","https://www.amazon.com/Yogi-Lavender-Stress-Relief-Packaging/dp/B007M8FRV0/ref=sr_1_121?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-121"
"","","114","Yogi Limited Release Seasonal Pumpkin Spice Tea - Caffeine Free Herbal Tea (16 Tea Bags - Net Wt 1.12 Oz)","Yogi","$15.99","15","0","$240","0","","273182","FBA","Grocery & Gourmet Food","B0825BS6C7","https://www.amazon.com/Yogi-Limited-Release-Seasonal-Pumpkin/dp/B0825BS6C7/ref=sr_1_122?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-122"
"","","115","Yogi Tea Chai Green Tea 16 ea (pack of 6)","Yogi","$33.00","30","1","$990","57","4.5","126636","FBA","Grocery & Gourmet Food","B000CMD68O","https://www.amazon.com/Yogi-Tea-Chai-Green-pack/dp/B000CMD68O/ref=sr_1_123?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-123"
"","","116","Yogi Herbal Tea Bags Calming 16 ea","Yogi","$9.50","65","3","$618","7","5","56240","FBA","Grocery & Gourmet Food","B0070Z5KOY","https://www.amazon.com/Yogi-Herbal-Tea-Bags-Calming/dp/B0070Z5KOY/ref=sr_1_124?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-124"
"","","117","Yogi Tea DeTox & Wellness Tea 3 Flavor Variety Pack (Pack of 6)","Yogi","$36.98","15","0","$555","15","3.5","178357","FBA","Grocery & Gourmet Food","B00UI1QMYY","https://www.amazon.com/Yogi-DeTox-Wellness-Flavor-Variety/dp/B00UI1QMYY/ref=sr_1_125?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-125"
"","","118","Celestial Seasonings Wellness Tea Sleepytime Extra 20 Count Box (Pack of 6)","Celestial Seasonings","$16.08","5111","142","$82185","587","4.5","1755","AMZ","Grocery & Gourmet Food","B000E65OQA","https://www.amazon.com/Celestial-Seasonings-Sleepytime-Extra-Count/dp/B000E65OQA/ref=sr_1_126?dchild=1&keywords=Yogi+tea&qid=1588738400&refinements=p_85%3A2470955011&rnid=2470954011&rps=1&sr=8-126"
